variant,B,N,d,latency_ms,throughput_k_tokens_per_sec
warp_softmax,16,512,128,1.5573,5260.29
tiled32,16,512,128,2.2555,3632.03
baseline,16,1024,64,8.9113,1838.57
tiled,16,1024,64,4.7600,3442.05
softmax_fixed,16,1024,64,4.8475,3379.90
fused,16,1024,64,16.2604,1007.60
warp_softmax,16,1024,64,3.4178,4793.77
tiled32,16,1024,64,4.8981,3344.94
baseline,16,1024,128,16.1096,1017.03
tiled,16,1024,128,7.7827,2105.18
softmax_fixed,16,1024,128,7.8531,2086.32
fused,16,1024,128,33.7127,485.99
warp_softmax,16,1024,128,6.4210,2551.63
tiled32,16,1024,128,9.2643,1768.51
baseline,32,128,64,0.2725,15029.88
tiled,32,128,64,0.1421,28815.33
softmax_fixed,32,128,64,0.1602,25565.85
fused,32,128,64,0.4217,9712.49
warp_softmax,32,128,64,0.1104,37095.97
tiled32,32,128,64,0.1619,25298.54
baseline,32,128,128,0.4992,8205.68
tiled,32,128,128,0.2363,17333.46
softmax_fixed,32,128,128,0.2541,16122.67
fused,32,128,128,0.7993,5124.79
warp_softmax,32,128,128,0.2065,19838.90
tiled32,32,128,128,0.3012,13598.71
baseline,32,256,64,1.0648,7693.16
tiled,32,256,64,0.5430,15085.22
softmax_fixed,32,256,64,0.6110,13406.98
fused,32,256,64,1.5944,5137.86
warp_softmax,32,256,64,0.4063,20161.15
tiled32,32,256,64,0.5895,13897.57
baseline,32,256,128,1.9659,4167.15
tiled,32,256,128,0.9215,8889.82
softmax_fixed,32,256,128,0.9893,8280.65
fused,32,256,128,3.1443,2605.31
warp_softmax,32,256,128,0.7854,10430.69
tiled32,32,256,128,1.1328,7231.79
baseline,32,512,64,4.2269,3876.17
tiled,32,512,64,2.1405,7654.35
softmax_fixed,32,512,64,2.4328,6734.76
fused,32,512,64,6.2923,2603.82
warp_softmax,32,512,64,1.6911,9688.61
tiled32,32,512,64,2.4490,6690.17
baseline,32,512,128,7.8498,2087.18
tiled,32,512,128,3.6656,4469.63
softmax_fixed,32,512,128,3.9404,4157.92
fused,32,512,128,12.4854,1312.25
warp_softmax,32,512,128,3.2098,5104.37
tiled32,32,512,128,4.6558,3519.07
baseline,32,1024,64,18.3944,1781.41
tiled,32,1024,64,10.0272,3267.91
softmax_fixed,32,1024,64,9.6672,3389.61
fused,32,1024,64,32.5984,1005.20
warp_softmax,32,1024,64,6.8443,4787.61
tiled32,32,1024,64,9.8068,3341.34
baseline,32,1024,128,32.7787,999.67
tiled,32,1024,128,16.0551,2040.97
softmax_fixed,32,1024,128,15.7125,2085.47
fused,32,1024,128,67.7460,483.69
warp_softmax,32,1024,128,12.8726,2545.56
tiled32,32,1024,128,18.5427,1767.17
