variant,B,N,d,latency_ms,throughput_k_tokens_per_sec
baseline,1,128,64,0.0492,2603.88
tiled,1,128,64,0.0451,2840.10
softmax_fixed,1,128,64,0.0164,7810.97
fused,1,128,64,0.0225,5678.35
baseline,1,128,128,0.0566,2260.68
tiled,1,128,128,0.0471,2716.80
softmax_fixed,1,128,128,0.0184,6939.75
fused,1,128,128,0.0339,3780.11
baseline,1,256,64,0.1679,1524.40
tiled,1,256,64,0.1494,1712.95
softmax_fixed,1,256,64,0.0328,7811.13
fused,1,256,64,0.0615,4164.06
baseline,1,256,128,0.1995,1282.89
tiled,1,256,128,0.1630,1570.87
softmax_fixed,1,256,128,0.0451,5670.86
fused,1,256,128,0.1168,2192.37
baseline,1,512,64,0.3943,1298.36
tiled,1,512,64,0.3297,1552.84
softmax_fixed,1,512,64,0.0922,5555.98
fused,1,512,64,0.2164,2366.27
baseline,1,512,128,0.5123,999.51
tiled,1,512,128,0.3792,1350.11
softmax_fixed,1,512,128,0.1423,3598.17
fused,1,512,128,0.4196,1220.13
baseline,1,1024,64,1.0166,1007.33
tiled,1,1024,64,0.7564,1353.78
softmax_fixed,1,1024,64,0.3399,3012.93
fused,1,1024,64,1.0365,987.90
baseline,1,1024,128,1.4626,700.11
tiled,1,1024,128,0.9414,1087.79
softmax_fixed,1,1024,128,0.5238,1955.12
fused,1,1024,128,2.1151,484.14
baseline,4,128,64,0.0744,6885.66
tiled,4,128,64,0.0561,9121.43
softmax_fixed,4,128,64,0.0307,16663.37
fused,4,128,64,0.0615,8327.96
baseline,4,128,128,0.1041,4919.31
tiled,4,128,128,0.0675,7588.73
softmax_fixed,4,128,128,0.0412,12417.92
fused,4,128,128,0.1103,4640.41
baseline,4,256,64,0.2608,3926.85
tiled,4,256,64,0.1959,5227.27
softmax_fixed,4,256,64,0.0901,11361.38
fused,4,256,64,0.2109,4855.81
baseline,4,256,128,0.3755,2726.93
tiled,4,256,128,0.2427,4220.05
softmax_fixed,4,256,128,0.1388,7380.16
fused,4,256,128,0.4056,2524.93
baseline,4,512,64,0.7379,2775.59
tiled,4,512,64,0.4783,4281.93
softmax_fixed,4,512,64,0.3217,6365.69
fused,4,512,64,0.7957,2573.90
baseline,4,512,128,1.1846,1728.90
tiled,4,512,128,0.6634,3087.14
softmax_fixed,4,512,128,0.5069,4040.41
fused,4,512,128,1.5677,1306.40
baseline,4,1024,64,2.3673,1730.25
tiled,4,1024,64,1.3244,3092.62
softmax_fixed,4,1024,64,1.2247,3344.62
fused,4,1024,64,4.0464,1012.26
baseline,4,1024,128,4.1533,986.21
tiled,4,1024,128,2.0656,1982.99
softmax_fixed,4,1024,128,1.9651,2084.34
fused,4,1024,128,8.3634,489.75
baseline,16,128,64,0.1598,12816.10
tiled,16,128,64,0.0919,22287.54
softmax_fixed,16,128,64,0.0847,24172.11
fused,16,128,64,0.2148,9535.70
baseline,16,128,128,0.2740,7475.13
tiled,16,128,128,0.1410,14528.88
softmax_fixed,16,128,128,0.1334,15351.70
fused,16,128,128,0.4021,5092.77
baseline,16,256,64,0.5988,6840.22
tiled,16,256,64,0.3399,12049.86
softmax_fixed,16,256,64,0.3132,13078.80
fused,16,256,64,0.8017,5109.08
baseline,16,256,128,1.0493,3903.44
tiled,16,256,128,0.5261,7785.65
softmax_fixed,16,256,128,0.4991,8206.80
fused,16,256,128,1.5727,2604.47
baseline,16,512,64,2.1183,3867.31
tiled,16,512,64,1.0752,7618.71
softmax_fixed,16,512,64,1.2090,6775.70
fused,16,512,64,3.1357,2612.48
baseline,16,512,128,3.9101,2095.10
tiled,16,512,128,1.8253,4488.07
softmax_fixed,16,512,128,1.9589,4181.88
fused,16,512,128,6.2203,1316.99
baseline,16,1024,64,8.9149,1837.82
tiled,16,1024,64,4.7501,3449.17
softmax_fixed,16,1024,64,4.8458,3381.11
fused,16,1024,64,16.2585,1007.72
baseline,16,1024,128,16.1096,1017.04
tiled,16,1024,128,7.7809,2105.67
softmax_fixed,16,1024,128,7.8539,2086.09
fused,16,1024,128,33.7065,486.08
baseline,32,128,64,0.2727,15019.42
tiled,32,128,64,0.1420,28854.37
softmax_fixed,32,128,64,0.1598,25629.83
fused,32,128,64,0.4218,9711.45
baseline,32,128,128,0.4993,8202.69
tiled,32,128,128,0.2362,17338.39
softmax_fixed,32,128,128,0.2536,16149.05
fused,32,128,128,0.7991,5125.47
baseline,32,256,64,1.0645,7695.68
tiled,32,256,64,0.5418,15120.43
softmax_fixed,32,256,64,0.6104,13420.53
fused,32,256,64,1.5949,5136.42
baseline,32,256,128,1.9633,4172.59
tiled,32,256,128,0.9203,8901.86
softmax_fixed,32,256,128,0.9889,8283.74
fused,32,256,128,3.1347,2613.34
baseline,32,512,64,4.2202,3882.32
tiled,32,512,64,2.1383,7662.26
softmax_fixed,32,512,64,2.4317,6737.71
fused,32,512,64,6.2859,2606.47
baseline,32,512,128,7.8495,2087.27
tiled,32,512,128,3.6650,4470.41
softmax_fixed,32,512,128,3.9391,4159.30
fused,32,512,128,12.4820,1312.61
baseline,32,1024,64,18.3927,1781.58
tiled,32,1024,64,10.0330,3266.03
softmax_fixed,32,1024,64,9.6651,3390.33
fused,32,1024,64,32.5859,1005.59
baseline,32,1024,128,32.7757,999.76
tiled,32,1024,128,16.0442,2042.35
softmax_fixed,32,1024,128,15.7196,2084.53
fused,32,1024,128,67.7178,483.89
